solver,testcase,answer,time,memory
greedy,f10_l-d_kp_20_879,1019,360,8560
greedy,f1_l-d_kp_10_269,290,267,8480
greedy,f2_l-d_kp_20_878,1018,334,8368
greedy,f3_l-d_kp_4_20,35,183,8472
greedy,f4_l-d_kp_4_11,16,157,8480
greedy,f6_l-d_kp_10_60,52,257,8456
greedy,f7_l-d_kp_7_50,90,194,8456
greedy,f8_l-d_kp_23_10000,9266,309,8544
greedy,f9_l-d_kp_5_80,130,193,8432
greedy,knapPI_14_200_1000_1,5397,587,8720
greedy,knapPI_1_500_1000_1,28834,925,9056
greedy,knapPI_2_500_1000_1,4551,840,8712
greedy,knapPI_3_500_1000_1,7098,952,8876
fptas 0.5,f10_l-d_kp_20_879,1003,831,8716
fptas 0.5,f1_l-d_kp_10_269,287,239,8544
fptas 0.5,f2_l-d_kp_20_878,1001,762,8584
fptas 0.5,f3_l-d_kp_4_20,31,233,8528
fptas 0.5,f4_l-d_kp_4_11,22,218,8456
fptas 0.5,f6_l-d_kp_10_60,52,246,8452
fptas 0.5,f7_l-d_kp_7_50,105,196,8540
fptas 0.5,f8_l-d_kp_23_10000,9618,1421,8864
fptas 0.5,f9_l-d_kp_5_80,122,196,8560
fptas 0.5,knapPI_14_200_1000_1,5372,263842,92624
fptas 0.5,knapPI_1_500_1000_1,28832,3312812,1017936
fptas 0.5,knapPI_2_500_1000_1,4551,3504583,990988
fptas 0.5,knapPI_3_500_1000_1,7091,3711430,1134368
fptas 0.25,f10_l-d_kp_20_879,1015,640,8624
fptas 0.25,f1_l-d_kp_10_269,291,156,8440
fptas 0.25,f2_l-d_kp_20_878,1014,939,8636
fptas 0.25,f3_l-d_kp_4_20,33,198,8560
fptas 0.25,f4_l-d_kp_4_11,22,215,8560
fptas 0.25,f6_l-d_kp_10_60,52,314,8520
fptas 0.25,f7_l-d_kp_7_50,105,212,8528
fptas 0.25,f8_l-d_kp_23_10000,9703,2762,9028
fptas 0.25,f9_l-d_kp_5_80,125,197,8540
fptas 0.25,knapPI_14_200_1000_1,5385,510336,175392
fptas 0.25,knapPI_1_500_1000_1,28845,6613435,1989652
fptas 0.25,knapPI_2_500_1000_1,4559,6413628,1933536
fptas 0.25,knapPI_3_500_1000_1,7104,7484583,2221020
fptas 0.1,f10_l-d_kp_20_879,1020,1488,8968
fptas 0.1,f1_l-d_kp_10_269,293,233,8708
fptas 0.1,f2_l-d_kp_20_878,1019,1630,9016
fptas 0.1,f3_l-d_kp_4_20,34,193,8536
fptas 0.1,f4_l-d_kp_4_11,22,212,8460
fptas 0.1,f6_l-d_kp_10_60,52,491,8536
fptas 0.1,f7_l-d_kp_7_50,107,275,8460
fptas 0.1,f8_l-d_kp_23_10000,9746,6591,9672
fptas 0.1,f9_l-d_kp_5_80,128,257,8608
fptas 0.1,knapPI_14_200_1000_1,5389,1310902,409276
fptas 0.1,knapPI_1_500_1000_1,28852,16529924,4902560
fptas 0.1,knapPI_2_500_1000_1,4562,16047351,4762812
fptas 0.1,knapPI_3_500_1000_1,7112,18464562,5482992
bnb,f10_l-d_kp_20_879,1025,5318,10976
bnb,f1_l-d_kp_10_269,295,470,8872
bnb,f2_l-d_kp_20_878,1024,7996,10912
bnb,f3_l-d_kp_4_20,35,183,8480
bnb,f4_l-d_kp_4_11,23,212,8452
bnb,f6_l-d_kp_10_60,52,1087,9288
bnb,f7_l-d_kp_7_50,107,397,8608
bnb,f8_l-d_kp_23_10000,9767,2509808,10992
bnb,f9_l-d_kp_5_80,130,146,8516
bnb,knapPI_14_200_1000_1,5397,423827,11104
bnb,knapPI_1_500_1000_1,28857,85960634,11288
bnb,knapPI_2_500_1000_1,4566,374688,11248
bnb,knapPI_3_500_1000_1,,,
